level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3509	-1	
2	1	1	0	0	0	236	217	40	30	-1	
3	1	1	1	0	0	236	217	40	30	-1	
4	1	1	1	1	0	236	217	40	30	-1	
5	1	1	1	1	1	236	217	40	30	96.958839	26
2	1	2	0	0	0	1042	206	1284	37	-1	
3	1	2	1	0	0	1042	206	1284	37	-1	
4	1	2	1	1	0	1042	206	1284	37	-1	
5	1	2	1	1	1	1042	217	55	26	96.912125	<<
5	1	2	1	1	2	1113	207	60	36	95.397316	LE
5	1	2	1	1	3	1188	206	262	37	95.449684	MONITEUR
5	1	2	1	1	4	1466	214	55	26	96.996796	>>
5	1	2	1	1	5	1732	211	55	30	96.479149	No.
5	1	2	1	1	6	1803	210	42	30	69.470284	20
5	1	2	1	1	7	1857	227	10	5	69.470284	-
5	1	2	1	1	8	1896	209	148	31	96.120628	Vendredi
5	1	2	1	1	9	2055	209	43	30	96.951965	29
5	1	2	1	1	10	2107	209	127	30	96.646904	Janvier
5	1	2	1	1	11	2245	207	81	31	96.939636	2016
2	1	3	0	0	0	235	243	2092	15	-1	
3	1	3	1	0	0	235	243	2092	15	-1	
4	1	3	1	1	0	235	243	2092	15	-1	
5	1	3	1	1	1	235	243	2092	15	95.000000	 
2	1	4	0	0	0	234	254	2094	24	-1	
3	1	4	1	0	0	234	254	2094	24	-1	
4	1	4	1	1	0	234	254	2094	24	-1	
5	1	4	1	1	1	234	254	2094	24	95.000000	 
2	1	5	0	0	0	302	334	209	33	-1	
3	1	5	1	0	0	302	334	209	33	-1	
4	1	5	1	1	0	302	334	209	33	-1	
5	1	5	1	1	1	302	334	126	33	93.301315	Article
5	1	5	1	1	2	445	334	66	31	72.645630	39.-
2	1	6	0	0	0	304	1051	210	34	-1	
3	1	6	1	0	0	304	1051	210	34	-1	
4	1	6	1	1	0	304	1051	210	34	-1	
5	1	6	1	1	1	304	1053	127	32	93.282700	Article
5	1	6	1	1	2	447	1051	67	32	87.154495	40.-
2	1	7	0	0	0	310	2130	209	34	-1	
3	1	7	1	0	0	310	2130	209	34	-1	
4	1	7	1	1	0	310	2130	209	34	-1	
5	1	7	1	1	1	310	2130	127	34	93.300949	Article
5	1	7	1	1	2	451	2130	68	32	90.444878	41.-
2	1	8	0	0	0	311	2437	210	34	-1	
3	1	8	1	0	0	311	2437	210	34	-1	
4	1	8	1	1	0	311	2437	210	34	-1	
5	1	8	1	1	1	311	2438	127	33	93.272873	Article
5	1	8	1	1	2	453	2437	68	31	91.633949	42.-
2	1	9	0	0	0	563	325	1764	201	-1	
3	1	9	1	0	0	563	325	1764	201	-1	
4	1	9	1	1	0	564	325	1762	48	-1	
5	1	9	1	1	1	564	334	44	30	96.959328	En
5	1	9	1	1	2	618	343	53	21	96.984116	cas
5	1	9	1	1	3	679	333	39	31	96.908974	de
5	1	9	1	1	4	728	332	168	41	96.814835	procédure
5	1	9	1	1	5	906	330	242	33	96.247139	administrative
5	1	9	1	1	6	1158	329	219	33	95.445480	informatisée,
5	1	9	1	1	7	1389	334	68	26	96.619316	sont
5	1	9	1	1	8	1466	328	239	41	96.490265	préalablement
5	1	9	1	1	9	1716	327	120	41	96.958954	prévus,
5	1	9	1	1	10	1848	327	27	31	96.725166	le
5	1	9	1	1	11	1885	336	40	21	96.338615	ou
5	1	9	1	1	12	1936	327	44	30	96.929855	les
5	1	9	1	1	13	1991	325	134	32	96.107292	services
5	1	9	1	1	14	2134	325	192	41	96.673637	compétents
4	1	9	1	2	0	565	375	1761	49	-1	
5	1	9	1	2	1	565	394	77	30	96.853943	pour
5	1	9	1	2	2	662	385	29	30	96.712982	la
5	1	9	1	2	3	708	384	169	31	96.935410	définition
5	1	9	1	2	4	897	384	56	30	96.955688	des
5	1	9	1	2	5	973	381	250	42	96.867683	spécifications,
5	1	9	1	2	6	1244	381	30	31	96.296089	la
5	1	9	1	2	7	1291	379	280	43	96.598694	programmation,
5	1	9	1	2	8	1592	378	187	35	3.772537	l'entretien,
5	1	9	1	2	9	1801	379	28	30	96.464478	la
5	1	9	1	2	10	1848	377	211	42	96.602013	supervision,
5	1	9	1	2	11	2079	377	28	31	96.276909	le
5	1	9	1	2	12	2126	376	143	32	96.627228	contrôle
5	1	9	1	2	13	2288	375	38	32	96.962936	de
4	1	9	1	3	0	563	427	1764	49	-1	
5	1	9	1	3	1	563	436	127	40	96.554062	qualité,
5	1	9	1	3	2	708	434	111	32	5.268364	l'audit
5	1	9	1	3	3	835	435	41	31	96.993011	du
5	1	9	1	3	4	894	434	137	40	96.959579	système
5	1	9	1	3	5	1048	431	240	34	90.232239	d’information
5	1	9	1	3	6	1304	438	30	25	96.710625	et
5	1	9	1	3	7	1350	431	40	32	96.898460	de
5	1	9	1	3	8	1407	441	58	22	96.925362	son
5	1	9	1	3	9	1481	431	81	31	96.785385	code
5	1	9	1	3	10	1579	440	121	22	91.815628	source,
5	1	9	1	3	11	1720	430	21	31	88.969994	Il
5	1	9	1	3	12	1758	436	47	25	96.989380	est
5	1	9	1	3	13	1821	429	178	41	96.965118	également
5	1	9	1	3	14	2016	428	128	41	96.198868	indiqué
5	1	9	1	3	15	2162	428	27	31	96.933220	le
5	1	9	1	3	16	2206	427	121	32	96.833809	service
4	1	9	1	4	0	564	483	856	43	-1	
5	1	9	1	4	1	564	493	159	25	91.997566	assumant
5	1	9	1	4	2	738	487	29	31	96.335625	la
5	1	9	1	4	3	779	485	239	41	96.686974	responsabilité
5	1	9	1	4	4	1031	494	39	22	96.988289	en
5	1	9	1	4	5	1083	494	54	21	97.019447	cas
5	1	9	1	4	6	1149	484	39	31	97.015526	de
5	1	9	1	4	7	1201	483	219	32	96.831955	contestation.
2	1	10	0	0	0	533	585	1499	139	-1	
3	1	10	1	0	0	533	585	1499	139	-1	
4	1	10	1	1	0	1197	585	171	33	-1	
5	1	10	1	1	1	1197	586	132	32	91.258057	TITRE
5	1	10	1	1	2	1339	585	29	31	91.258057	V
4	1	10	1	2	0	533	627	1499	51	-1	
5	1	10	1	2	1	533	630	326	43	92.371666	COOPÉRATION
5	1	10	1	2	2	870	638	149	32	93.299095	ENTRE
5	1	10	1	2	3	1029	627	188	43	92.738312	ENTITÉS
5	1	10	1	2	4	1227	634	416	34	96.071442	ADMINISTRATIVES
5	1	10	1	2	5	1653	634	122	33	96.848427	POUR
5	1	10	1	2	6	1786	634	57	32	96.535362	LA
5	1	10	1	2	7	1855	634	110	44	96.027985	MISE
5	1	10	1	2	8	1975	633	57	31	96.309486	EN
4	1	10	1	3	0	762	677	1041	47	-1	
5	1	10	1	3	1	762	690	165	33	96.244965	ŒUVRE
5	1	10	1	3	2	936	690	59	32	96.403786	DE
5	1	10	1	3	3	1004	687	438	35	57.190899	L'ADMINISTRATION
5	1	10	1	3	4	1450	677	353	47	96.358345	ÉLECTRONIQUE
2	1	11	0	0	0	1064	790	439	33	-1	
3	1	11	1	0	0	1064	790	439	33	-1	
4	1	11	1	1	0	1064	790	439	33	-1	
5	1	11	1	1	1	1064	791	226	32	95.902847	CHAPITRE
5	1	11	1	1	2	1300	790	203	32	95.568855	PREMIER
2	1	12	0	0	0	662	880	1243	101	-1	
3	1	12	1	0	0	662	880	1243	101	-1	
4	1	12	1	1	0	662	880	1243	48	-1	
5	1	12	1	1	1	662	896	163	32	92.801674	CHAMP
5	1	12	1	1	2	834	894	380	33	91.603622	INSTITUTIONNEL
5	1	12	1	1	3	1224	894	58	30	93.290573	DE
5	1	12	1	1	4	1293	883	328	41	90.919510	COOPÉRATION
5	1	12	1	1	5	1630	892	58	30	96.401276	EN
5	1	12	1	1	6	1699	880	206	42	96.419930	MATIÈRE
4	1	12	1	2	0	886	934	795	47	-1	
5	1	12	1	2	1	886	944	435	34	65.942963	D'ADMINISTRATION
5	1	12	1	2	2	1331	934	350	47	96.393082	ÉLECTRONIQUE
2	1	13	0	0	0	567	1042	1763	150	-1	
3	1	13	1	0	0	567	1042	1763	150	-1	
4	1	13	1	1	0	567	1042	1762	49	-1	
5	1	13	1	1	1	567	1051	42	31	96.914108	Le
5	1	13	1	1	2	623	1050	130	32	96.732132	Conseil
5	1	13	1	1	3	770	1049	168	42	96.732132	Supérieur
5	1	13	1	1	4	949	1048	40	32	96.975304	de
5	1	13	1	1	5	1003	1046	288	33	44.759529	l'Administration
5	1	13	1	1	6	1305	1051	30	27	97.014984	et
5	1	13	1	1	7	1348	1046	40	31	96.980782	de
5	1	13	1	1	8	1402	1046	30	31	96.692154	la
5	1	13	1	1	9	1446	1045	152	31	96.767082	Fonction
5	1	13	1	1	10	1614	1045	151	40	96.621628	Publique
5	1	13	1	1	11	1778	1050	47	25	96.621628	est
5	1	13	1	1	12	1841	1044	141	40	49.573326	l'organe
5	1	13	1	1	13	1997	1043	166	39	96.904610	technique
5	1	13	1	1	14	2177	1042	40	30	93.299408	de
